Title 	 TargetName 	 SourceType 	 BkgTarget 	 EffExp [s] 	 RA 	 DEC 	 ASN 	 DataProblem 	 FileName 
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	XX-Cha-2	POINT	False	3696.348	167.91447221974755	-76.33746788920514	jw01282_20241001t050842_pool.csv	False	jw01282-o124_t066_miri
!!!The Physics of Brown Dwarfs - Part #3!!!	WISE 0855-0714	POINT	False	2980.3920000000003	133.76591572075864	-7.242767457987652	jw01230_20240905t145615_pool.csv	False	jw01230-o005_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	V1094Sco	POINT	False	3696.348	242.15059676686667	-39.384124776797265	jw01282_20241001t050842_pool.csv	False	jw01282-o065_t061_miri
MIRI EC Protostars Survey	[WM2000] S68Nc	EXTENDED	False	599.406	277.45522693729026	1.2813064595953476	jw01290_20240702t102756_pool.csv	False	jw01290-o019_t021_miri
!!!NIRSpec+MIRI IFU Observations of Arp220!!!		UNKNOWN	True	1676.124	233.74372585269475	23.51326569089502	jw01267_20240701t145949_pool.csv	False	jw01267-o004_t004_miri
Collimation zone in Proto-Stellar Jets, the Final Frontier.  MIRI MRS and Imager Simultaneous observations	HH 111 IRS	EXTENDED	False	6660.0960000000005	87.94185531420281	2.8083629531509042	jw01293_20240906t154341_pool.csv	False	jw01293-o001_t001_miri
Protostellar Binaries		EXTENDED	False	333.006	56.18046089318063	32.02541293606698	jw01236_20240701t000531_pool.csv	False	jw01236-o010_t010_miri
Sparse Spectral Mapping of NGC 1514	NGC-1514	EXTENDED	False	715.962	62.30755836721128	30.781148026918387	jw01238_20240701t040247_pool.csv	False	jw01238-o012_t019_miri
!!!MIRI EC Protostars Survey!!!		EXTENDED	True	3013.692	53.33900075272007	31.124026435402392	jw01290_20240702t102756_pool.csv	False	jw01290-o001_t007_miri
!!!NIRSpec Observations of Centaurus-A: a GTO program proposal!!!		UNKNOWN	True	899.112	201.5074963938008	-43.01247867066574	jw01269_20240701t170414_pool.csv	False	jw01269-o003_t002_miri
SN 1987A: The Formation and Evolution of Dust in a Supernova Explosion	SN 1987A	EXTENDED	False	9457.332	83.86656112941891	-69.26970094183989	jw01232_20240905t151555_pool.csv	False	jw01232-o002_t001_miri
!!!Uranus!!!	URANUS	EXTENDED	False	1798.2240000000004	42.32171120077735	15.909926782425373	jw01248_20240701t054804_pool.csv	False	jw01248-o003_t001_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	HD131835	POINT	False	3696.348	224.22671129841305	-35.6955770365504	jw01282_20241001t050842_pool.csv	False	jw01282-o036_t039_miri
MIRI EC Protostars Survey	IRAS23385	EXTENDED	False	2397.624	355.22702625473175	61.17446912775175	jw01290_20240702t102756_pool.csv	False	jw01290-o032_t030_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J15582981-2310077	POINT	False	3696.348	239.6241793164501	-23.168945476595873	jw01282_20241001t050842_pool.csv	False	jw01282-o046_t049_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J04381486+2611399	POINT	False	3696.348	69.56208126649604	26.194339514769716	jw01282_20241001t050842_pool.csv	False	jw01282-o043_t046_miri
!!!MIRI EC Protoplanetary and Debris Disks Survey!!!	2MASS-J11071668-7735532	POINT	False	3696.348	166.8186643797289	-77.59806422659159	jw01282_20241001t050842_pool.csv	False	jw01282-o048_t051_miri
